"","Title","Best_Match","Similarity"
"1","a discrete spatial choice model of burglary target selection at the houselevel","a discrete spatial choice model of burglary target selection at the houselevel","1"
"2","a sentimental journey to crime effects of residential history on crime location choice","a sentimental journey to crime effects of residential history on crime location choice","1"
"3","a time for a crime temporal aspects of repeat offenders crime location choices","a time for a crime temporal aspects of repeat offenders crime location choices","1"
"4","adolescent offenders current whereabouts predict locations of their future crimes","adolescent offenders current whereabouts predict locations of their future crimes","1"
"5","ambient population and surveillance cameras the guardianship role in street robbers crime location choice","ambient population and surveillance cameras the guardianship role in street robbers crime location choice","1"
"6","assessing the influence of prior on subsequent street robbery location choices a case study in zg city china","assessing the influence of prior on subsequent street robbery location choices a case study in zg city china","1"
"7","awarenessxopportunity testing interactions between activity nodes and criminal opportunity in predicting crime location choice","awareness opportunity testing interactions between activity nodes and criminal opportunity in predicting crime location choice","0.992063492063492"
"8","biting once twice the influence of prior on subsequent crime location choice","biting once twice the influence of prior on subsequent crime location choice","1"
"9","burglar target selection a crossnational comparison","burglar target selection a crossnational comparison","1"
"10","burglars blocked by barriers the impact of physical and social barriers on residential burglars target location choices in china","burglars blocked by barriers the impact of physical and social barriers on residential burglars target location choices in china","1"
"11","cooffending and the choice of target areas in burglary","cooffending and the choice of target areas in burglary","1"
"12","cooffenders crime location choice do cooffending groups commit crimes in their shared awareness space","cooffenders crime location choice do cooffending groups commit crimes in their shared awareness space","1"
"13","crime feeds on legal activities daily mobility flows help to explain thieves target location choices","crime feeds on legal activities daily mobility flows help to explain thieves target location choices","1"
"14","do juvenile young adult and adult offenders target different places in the chinese context","do juvenile young adult and adult offenders target different places in the chinese context","1"
"15","do migrant and native robbers target different places","do migrant and native robbers target different places","1"
"16","do street robbery location choices vary over time of day or day of week a test in chicago","do street robbery location choices vary over time of day or day of week a test in chicago","1"
"17","effects of attractiveness opportunity and accessibility to burglars on residential burglary rates of urban neighborhoods","effects of attractiveness opportunity and accessibility to burglars on residential burglary rates of urban neighborhoods","1"
"18","effects of residential history on commercial robbers crime location choices","effects of residential history on commercial robbers crime location choices","1"
"19","family matters effects of family members residential areas on crime location choice","family matters effects of family members residential areas on crime location choice","1"
"20","formal evaluation of the impact of barriers and connectors on residential burglars macrolevel offending location choices","formal evaluation of the impact of barriers and connectors on residential burglars macrolevel offending location choices","1"
"21","go where the money is modeling street robbers location choices","go where the money is modeling street robbers location choices","1"
"22","how do residential burglars select target areas a new approach to the analysis of criminal location choice","how do residential burglars select target areas a new approach to the analysis of criminal location choice","1"
"23","investigating the effect of people on the street and streetscape physical environment on the location choice of street theft crime offenders using street view images and a discrete spatial choice model","investigating the effect of people on the street and streetscape physical environment on the location choice of street theft crime offenders using street view images and a discrete spatial choice model","1"
"24","learning where to offend effects of past on future burglary locations","learning where to offend effects of past on future burglary locations","1"
"25","location choice of snatching offenders in chennai city","location choice of snatching offenders in chennai city","1"
"26","location location location effects of neighborhood and house attributes on burglars target selection","location location location effects of neighborhood and house attributes on burglars target selection","1"
"27","modeling microlevel crime location choice application of the discrete choice framework to crime at places","modeling microlevel crime location choice application of the discrete choice framework to crime at places","1"
"28","modelling taste heterogeneity regarding offence location choices","modelling taste heterogeneity regarding offence location choices","1"
"29","modelling the spatial decision making of terrorists the discrete choice approach","modelling the spatial decision making of terrorists the discrete choice approach","1"
"30","relative difference and burglary location can ecological characteristics of a burglars home neighborhood predict offense location","relative difference and burglary location can ecological characteristics of a burglars home neighborhood predict offense location","1"
"31","relationships between offenders crime locations and different prior activity locations as recorded in police data","relationships between offenders crime locations and different prior activity locations as recorded in police data","1"
"32","right place right time making crime pattern theory timespecific","right place right time making crime pattern theory timespecific","1"
"33","role of the street network in burglars spatial decisionmaking","role of the street network in burglars spatial decisionmaking","1"
"34","target choice during extreme events a discrete spatial choice model of the 2011 london riots","target choice during extreme events a discrete spatial choice model of the 2011 london riots","1"
"35","target selection models with preference variation between offenders","target selection models with preference variation between offenders","1"
"36","the importance of importance sampling exploring methods of sampling from alternatives in discrete choice models of crime location choice","the importance of importance sampling exploring methods of sampling from alternatives in discrete choice models of crime location choice","1"
"37","the influence of activity space and visiting frequency on crime location choice findings from an online selfreport survey","the influence of activity space and visiting frequency on crime location choice findings from an online selfreport survey","1"
"38","the usefulness of past crime data as an attractiveness index for residential burglars","the usefulness of past crime data as an attractiveness index for residential burglars","1"
"39","traveling alone or together neighborhood context on individual and group juvenile and adult burglary decisions","traveling alone or together neighborhood context on individual and group juvenile and adult burglary decisions","1"
"40","where do dealers solicit customers and sell them drugs a microlevel multiple method study","where do dealers solicit customers and sell them drugs a microlevel multiple method study","1"
"41","where offenders choose to attack a discrete choice model of robberies in chicago","where offenders choose to attack a discrete choice model of robberies in chicago","1"
