Study_ID,Filename,Demographic_Variables
1,14_target_choice_during_extreme_events_a_discrete_sp.pdf,
2,49_formal_evaluation_of_the_impact_of_barriers_and_connectors.pdf,
3,41_investigating_the_effect_of_people_on_the_street.pdf,
4,51_target_selection_models_with_preference_variation.pdf,
5,48_effects_of_residential_history_on_commercial_robbe.pdf,
6,45_a_time_for_a_crime_temporal_aspects_of_repeat_off.pdf,
7,46_a_sentimental_journey_to_crime_effects_of_reside.pdf,
8,40_burglars_blocked_by_barriers.pdf,
9,44_family_matters_effects_of_family_members_residen.pdf,
10,42_biting_once_twice_the_influence_of_prior_on_subs.pdf,
11,47_modeling_micro-level_crime_location_choice_applic.pdf,
12,35_the_importance_of_importance_sampling_exploring_m.pdf,
13,43_co-offenders_crime_location_choice.pdf,
14,39_right_place_right_time_making_crime_pattern_theory.pdf,
15,31_ambient_population_and_surveillance_cameras.pdf,
16,32_do_migrant_and_native_robbers_target_different_places.pdf,
17,33_do_juvenile_young_adult_and_adult_offenders_target_different_places.pdf,
18,38_the_influence_of_activity_space_and_visiting_frequ.pdf,
19,37_location_choice_of_snatching_offenders_in_chennai.pdf,
20,34_awareness_x_opportunity_testing_interactions_betw.pdf,
21,30_assessing_the_influence_of_prior_on_subsequent_street_robbery_location_choices.pdf,
22,26_familiar_locations_and_similar_activities_examining.pdf,
23,27_traveling_alone_or_together_neighborhood_context.pdf,
24,25_divergent_decision-making_in_context_neighborhood.pdf,
25,28_relationships_between_offenders_crime_locations.pdf,
26,22_where_offenders_choose_to_attack_a_discrete_choice_model.pdf,
27,24_relative_difference_and_burglary_location.pdf,
28,29_crime_feeds_on_legal_activities_daily_mobility_fl.pdf,
29,23_location_location_location_effects_of_neighbo.pdf,
30,21_effect_attractiveness_opportunity_and_accessibility.pdf,
31,13_testing_ecological_theories_of_offender_spatial_de.pdf,
32,15_situating_crime_pattern_theory_into_the_explanation.pdf,
33,18_how_do_residential_burglars_select_target_areas.pdf,
34,19_cooffending_and_the_choice_of_target_areas_in_bur.pdf,
35,17_learning_where_to_offend_effects_of_past_on_future_burglary_locations.pdf,
36,20_burglar_target_selection_a_cross_national_compari copy.pdf,
37,08_role_of_the_street_network_in_burglars_spatial_de.pdf,
38,16_modelling_taste_heterogeneity_regarding_offence_lo.pdf,
39,03_graffiti_writers_choose_locations_that_optimize_exposure.pdf,
40,12_modelling_the_spatial_decision_making_of_terrorist.pdf,
41,11_spatial_analysis_with_preference_specification_of.pdf,
42,06_do_street_robbery_location_choices_vary_over_time.pdf,
43,05_go_where_the_money_is_modeling_street_robbers_lo.pdf,
44,07_the usefulness of past crime data as an attractive.pdf,
45,10_adolescent_offenders_current_whereabouts_predict.pdf,
46,01_a_discrete_spatial_choice_model_of_burglary_target.pdf,
47,04_where_do_dealers_solicit_customers_and_sell_them_drugs.pdf,
48,09_discrete_choice_analysis_of_spatial_attack_sites_1.pdf,38.0
49,02_residential_burglary_target_selection_property_level.pdf,
